,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,bario,year
103,102,7,0,95,,"137,2","166,0",-,"136,2",,"570,7","495,3","573,3",,"4.127,2","3.012,6","4.166,6",5 24. les Tres Torres,2013-04-01
104,215,65,0,150,,"139,9","131,8",-,"143,3",,"528,7","650,9","477,6",,"3.714,6","4.433,3","3.414,2",5 25. Sant Gervasi - la Bonanova,2013-04-01
105,344,100,0,244,,"126,0","130,5",-,"124,3",,"467,0","546,3","435,1",,"3.518,1","4.111,0","3.279,3",5 26. Sant Gervasi - Galvany,2013-04-01
106,302,42,0,260,,"115,6","115,9",-,"115,5",,"328,6","305,1","332,4",,"2.904,0","2.705,6","2.935,9",5 27. el Putxet i el Farró,2013-04-01
107,136,58,0,78,,"80,6","83,0",-,"78,8",,"199,8","231,8","177,3",,"2.300,7","2.741,6","1.992,1",6 28. Vallcarca i els Penitents,2013-04-01
108,29,12,0,17,,"79,0","93,4",-,"68,3",,"161,9","162,4","161,6",,"2.148,2","1.943,8","2.301,5",6 29. el Coll,2013-04-01
109,127,2,0,125,,"86,8","77,0",-,"86,8",,"227,3",-,"227,7",,"2.671,6",-,"2.674,4",6 30. la Salut,2013-04-01
110,314,8,0,306,,"81,1","135,8",-,"79,5",,"282,2","493,5","276,0",,"3.202,9","3.924,3","3.181,6",6 31. la Vila de Gràcia,2013-04-01
111,220,7,2,211,,"90,1","75,9","49,0","91,0",,"267,1","268,0","267,1",,"2.761,7","3.712,7","2.725,7","6 32. el Camp d""en Grassot i Gràcia Nova",2013-04-01
112,254,6,0,248,,"77,1","74,7",-,"77,2",,"201,1","213,7","200,5",,"2.546,2","2.971,7","2.528,9",7 33. el Baix Guinardó,2013-04-01
113,48,0,0,48,,"70,8",-,-,"70,8",,"178,3",-,"178,3",,"2.118,8",-,"2.118,8",7 34. Can Baró,2013-04-01
114,219,3,0,216,,"71,1","107,7",-,"70,5",,"169,1","347,1","163,7",,"2.164,8","3.300,7","2.130,7",7 35. el Guinardó,2013-04-01
115,38,2,0,36,,"82,2","108,0",-,"81,4",,"206,2",-,"205,4",,"2.552,6",-,"2.564,0","7 36. la Font d""en Fargues",2013-04-01
116,143,40,3,100,,"70,7","74,0","77,5","69,1",,"119,0","149,6","105,3",,"1.523,5","1.528,4","1.521,3",7 37. el Carmel,2013-04-01
117,33,11,1,21,,"66,0","60,4","49,0","70,4",,"113,4","89,2","131,1",,"1.721,8","1.447,8","1.922,7",7 38. la Teixonera,2013-04-01
118,15,7,0,8,,"78,8","77,2",-,"80,0",,"89,8","100,4","83,1",,"1.189,3","1.328,0","1.102,7",7 39. Sant Genís dels Agudells,2013-04-01
119,19,4,0,15,,"62,2","61,5",-,"62,5",,"92,5","76,3","98,4",,"1.581,4","1.252,5","1.701,0",7 40. Montbau,2013-04-01
120,21,6,0,15,,"62,0","63,0",-,"61,6",,"156,4","127,5","170,8",,"2.442,8","2.082,0","2.623,1","7 41. la Vall d""Hebron",2013-04-01
